cdm_id|cdm_name|cdm_description|cdm_links|cdm_location|cdm_elevation|cdm_wsi|cdm_facility_type|cdm_date_established|cdm_date_closed|cdm_wmo_region|cdm_territory|cdm_valid_from|cdm_valid_to|cdm_version|cdm_change_date|cdm_user|cdm_status|cdm_comments|cdm_time_zone
616I001|BANCROFT AUTO|BANCROFT AUTO|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71294", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/616I001", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -77.878889  45.071389)|330.7|0-20000-0-71294|http://codes.wmo.int/wmdr/FacilityType/landFixed|1995-05-02 12:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1995-05-02 12:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
611E001|EGBERT CS|EGBERT CS|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71296", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/611E001", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -79.783333  44.233333)|251|0-20000-0-71296|http://codes.wmo.int/wmdr/FacilityType/landFixed|2000-08-17 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2000-08-18 01:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6158875|TRENTON A|TRENTON A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71621", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6158875", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -77.528056  44.118889)|86.3|0-20000-0-71621|http://codes.wmo.int/wmdr/FacilityType/landFixed|1935-01-01 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1953-01-01 00:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6073980|KAPUSKASING CDA ON|KAPUSKASING CDA ON|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71299", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6073980", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -82.443611  49.406389)|218|0-20000-0-71299|http://codes.wmo.int/wmdr/FacilityType/landFixed|2000-08-07 20:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2000-08-07 20:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6106398|PETAWAWA A|PETAWAWA A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71625", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6106398", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -77.316667  45.950000)|130.1|0-20000-0-71625|http://codes.wmo.int/wmdr/FacilityType/landFixed|1969-06-02 07:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1969-06-02 07:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6142286|ELORA RCS|ELORA RCS|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71352", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6142286", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -80.416667  43.650000)|376.4|0-20000-0-71352|http://codes.wmo.int/wmdr/FacilityType/landFixed|2003-09-09 09:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2003-09-09 09:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6115529|MUSKOKA|MUSKOKA|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71532", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6115529", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -79.303333  44.974722)|281.9|0-20000-0-71532|http://codes.wmo.int/wmdr/FacilityType/landFixed|2009-07-06 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2009-08-27 09:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6155875|OSHAWA|OSHAWA|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71697", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6155875", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -78.883345  43.922778)|139.9|0-20000-0-71697|http://codes.wmo.int/wmdr/FacilityType/landFixed|2010-06-03 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2010-06-03 14:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6106367|PEMBROKE CLIMATE|PEMBROKE CLIMATE|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71196", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6106367", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -77.252222  45.860278)|161|0-20000-0-71196|http://codes.wmo.int/wmdr/FacilityType/landFixed|2010-11-10 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2010-11-10 14:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6119500|WIARTON A|WIARTON A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71633", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6119500", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -81.107222  44.745833)|222.2|0-20000-0-71633|http://codes.wmo.int/wmdr/FacilityType/landFixed|1947-01-01 00:00:00|2014-11-06 15:00:00|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|1953-01-01 00:00:00|2014-11-06 15:00:00|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6078286|TIMMINS A|TIMMINS A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71739", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6078286", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -81.376667  48.570556)|294.7|0-20000-0-71739|http://codes.wmo.int/wmdr/FacilityType/landFixed|2012-07-09 14:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2012-07-09 14:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6034076|KENORA A|KENORA A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71850", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6034076", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -94.363056  49.788333)|409.7|0-20000-0-71850|http://codes.wmo.int/wmdr/FacilityType/landFixed|2013-01-08 00:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2013-02-13 09:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6037776|SIOUX LOOKOUT A|SIOUX LOOKOUT A|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71842", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6037776", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -91.908056  50.114167)|383.1|0-20000-0-71842|http://codes.wmo.int/wmdr/FacilityType/landFixed|2013-02-13 09:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2013-02-13 09:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
6140942|BRANTFORD AIRPORT|BRANTFORD AIRPORT|[{"rel":"canonical", "href":"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71602", "type":"text/html", "title":"Station details in OSCAR"},{"rel":"convertedfrom", "href":"https://api.weather.gc.ca/collections/climate-stations/items/6140942", "type":"text/html", "title":"Source of data"}]|SRID=4326;POINT( -80.331389  43.137500)|245.5|0-20000-0-71602|http://codes.wmo.int/wmdr/FacilityType/landFixed|2014-12-11 04:00:00|2023-02-15 08:30:09|http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean|http://codes.wmo.int/wmdr/TerritoryName/CAN|2014-12-11 04:00:00|2023-02-15 08:30:09|1|2023-02-16 22:56:48+0100|1|1|Initial download and ingest from ECCC|NA
