"CLIMATE_IDENTIFIER"|"STATION_NAME"|"description"|"link"|"geometry"|"ELEVATION"|"wsi"|"facility_type"|"FIRST_DATE"|"wmo_region"|"wmo_territory"|"valid_from"|"valid_to"|"version"|"change_date"|"user"|"status"|"comments"
"6106398"|"PETAWAWA A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71625"|"SRID=4326;POINT( -77.316667  45.950000)"|130.1|"0-20000-0-71625"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1969-06-02 07:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1969-06-02 07:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6119M51"|"WESTERN ISLAND (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71438"|"SRID=4326;POINT( -80.366667  45.033333)"|191.1|"0-20000-0-71438"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1994-03-17 11:27:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1994-03-17 11:27:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6156559"|"POINT PETRE (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71430"|"SRID=4326;POINT( -77.150000  43.833333)"|78.6|"0-20000-0-71430"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1992-12-14 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1992-12-14 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6074211"|"KIRKLAND LAKE CS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71301"|"SRID=4326;POINT( -80.000000  48.150000)"|324|"0-20000-0-71301"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1997-06-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1997-06-01 00:00:00"|"2022-08-25 19:00:00"|1|NA|1|1|NA
"6075431"|"MOOSONEE AWOS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71836"|"SRID=4326;POINT( -80.600000  51.283333)"|9.1|"0-20000-0-71836"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2006-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2006-01-01 00:00:00"|"2010-09-23 13:00:00"|1|NA|1|1|NA
"6133362"|"HARROW CDA AUTO"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71298"|"SRID=4326;POINT( -82.900000  42.033333)"|191|"0-20000-0-71298"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2000-07-25 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2000-07-25 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6073980"|"KAPUSKASING CDA ON"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71299"|"SRID=4326;POINT( -82.443611  49.406389)"|218|"0-20000-0-71299"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2000-08-07 20:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2000-08-07 20:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6158355"|"TORONTO CITY"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71508"|"SRID=4326;POINT( -79.400000  43.666667)"|112.5|"0-20000-0-71508"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2002-06-04 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2002-06-04 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6040325"|"ARMSTRONG (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71841"|"SRID=4326;POINT( -88.905278  50.293611)"|322.5|"0-20000-0-71841"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1938-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1938-01-01 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6166415"|"PETERBOROUGH A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71436"|"SRID=4326;POINT( -78.363333  44.230000)"|191.4|"0-20000-0-71436"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-09-20 14:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-09-20 14:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6153193"|"HAMILTON A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71263"|"SRID=4326;POINT( -79.935000  43.173611)"|237.7|"0-20000-0-71263"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2011-12-14 19:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2011-12-14 19:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6073976"|"KAPUSKASING A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71831"|"SRID=4326;POINT( -82.468333  49.411667)"|226.5|"0-20000-0-71831"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2014-09-02 15:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2014-09-02 15:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6139530"|"WINDSOR A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71538"|"SRID=4326;POINT( -82.955278  42.276111)"|189.6|"0-20000-0-71538"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2018-11-02 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2018-11-02 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6057593"|"SAULT STE. MARIE AIRPORT"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-73070"|"SRID=4326;POINT( -84.516667  46.478056)"|187|"0-20000-0-73070"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2019-02-08 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2019-02-08 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6075543"|"NAGAGAMI (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71832"|"SRID=4326;POINT( -84.163694  49.746833)"|264|"0-20000-0-71832"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1993-01-12 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1993-01-12 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6136699"|"PORT WELLER (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71432"|"SRID=4326;POINT( -79.216667  43.250000)"|79|"0-20000-0-71432"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1992-12-02 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1992-12-02 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6145504"|"MOUNT FOREST (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71631"|"SRID=4326;POINT( -80.750000  43.983333)"|414.5|"0-20000-0-71631"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1992-12-02 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1992-12-02 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6016295"|"PEAWANUCK (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71434"|"SRID=4326;POINT( -85.433333  54.983333)"|52.7|"0-20000-0-71434"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1994-02-01 01:52:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1994-02-01 01:52:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6119500"|"WIARTON A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71633"|"SRID=4326;POINT( -81.107222  44.745833)"|222.2|"0-20000-0-71633"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1947-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1947-01-01 00:00:00"|"2014-11-06 15:00:00"|1|NA|1|1|NA
"6111792"|"COLLINGWOOD"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71270"|"SRID=4326;POINT( -80.216667  44.500000)"|178.3|"0-20000-0-71270"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1994-02-01 02:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1994-02-01 02:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"611E001"|"EGBERT CS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71296"|"SRID=4326;POINT( -79.783333  44.233333)"|251|"0-20000-0-71296"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2000-08-17 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2000-08-17 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6034073"|"KENORA RCS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71151"|"SRID=4326;POINT( -94.377778  49.790556)"|412.7|"0-20000-0-71151"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2008-07-21 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2008-07-21 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6037800"|"SIOUX LOOKOUT AIRPORT"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-73017"|"SRID=4326;POINT( -91.905556  50.114167)"|338.1|"0-20000-0-73017"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2018-09-13 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2018-09-13 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6034075"|"KENORA A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71850"|"SRID=4326;POINT( -94.365279  49.790279)"|409.7|"0-20000-0-71850"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1938-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1938-01-01 00:00:00"|"2013-02-14 12:00:00"|1|NA|1|1|NA
"6075435"|"MOOSONEE RCS"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71309"|"SRID=4326;POINT( -80.618056  51.291667)"|9.1|"0-20000-0-71309"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2003-11-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2003-11-01 00:00:00"|"2022-11-25 05:00:00"|1|NA|1|1|NA
"6153194"|"HAMILTON A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71263"|"SRID=4326;POINT( -79.934177  43.171687)"|237.7|"0-20000-0-71263"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1959-01-01 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1959-01-01 00:00:00"|"2011-12-15 13:00:00"|1|NA|1|1|NA
"6078282"|"TIMMINS CLIMATE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71193"|"SRID=4326;POINT( -81.390278  48.557222)"|294.4|"0-20000-0-71193"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2008-08-19 16:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2008-08-19 16:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6115529"|"MUSKOKA"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71532"|"SRID=4326;POINT( -79.303333  44.974722)"|281.9|"0-20000-0-71532"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2009-07-06 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2009-07-06 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6155875"|"OSHAWA"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71697"|"SRID=4326;POINT( -78.883345  43.922778)"|139.9|"0-20000-0-71697"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-06-03 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-06-03 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6144473"|"LONDON A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71623"|"SRID=4326;POINT( -81.151111  43.033056)"|278|"0-20000-0-71623"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2012-03-20 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2012-03-20 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6016529"|"PICKLE LAKE A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71845"|"SRID=4326;POINT( -90.214167  51.446389)"|386.2|"0-20000-0-71845"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2012-07-09 13:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2012-07-09 13:00:00"|"2019-08-13 13:00:00"|1|NA|1|1|NA
"6085680"|"NORTH BAY A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71731"|"SRID=4326;POINT( -79.424167  46.363889)"|370.3|"0-20000-0-71731"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2014-05-29 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2014-05-29 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6042719"|"GERALDTON AIRPORT"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-73071"|"SRID=4326;POINT( -86.932320  49.780910)"|340|"0-20000-0-73071"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2018-12-12 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2018-12-12 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6134F10"|"LONG POINT (AUT)"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71464"|"SRID=4326;POINT( -80.050000  42.533333)"|175|"0-20000-0-71464"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"1994-02-01 01:28:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"1994-02-01 01:28:00"|"2022-11-14 07:00:00"|1|NA|1|1|NA
"6016970"|"RED LAKE A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71854"|"SRID=4326;POINT( -93.793056  51.067222)"|385.9|"0-20000-0-71854"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2012-05-07 11:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2012-05-07 11:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6034076"|"KENORA A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71850"|"SRID=4326;POINT( -94.363056  49.788333)"|409.7|"0-20000-0-71850"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2013-01-08 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2013-01-08 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6037776"|"SIOUX LOOKOUT A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71842"|"SRID=4326;POINT( -91.908056  50.114167)"|383.1|"0-20000-0-71842"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2013-02-13 09:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2013-02-13 09:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6092920"|"GORE BAY CLIMATE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71956"|"SRID=4326;POINT( -82.566667  45.883333)"|188.6|"0-20000-0-71956"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2010-07-09 00:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2010-07-09 00:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6010735"|"BIG TROUT LAKE A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71675"|"SRID=4326;POINT( -89.896944  53.817778)"|222.5|"0-20000-0-71675"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2011-10-17 10:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2011-10-17 10:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6072223"|"EARLTON A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71684"|"SRID=4326;POINT( -79.848889  47.695000)"|243.8|"0-20000-0-71684"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2011-10-17 10:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2011-10-17 10:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6068145"|"SUDBURY CLIMATE"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71733"|"SRID=4326;POINT( -80.796133  46.632247)"|348|"0-20000-0-71733"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2011-08-04 14:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2011-08-04 14:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6106001"|"OTTAWA INTL A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71628"|"SRID=4326;POINT( -75.666667  45.316667)"|114.9|"0-20000-0-71628"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2011-12-14 19:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2011-12-14 19:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
"6068153"|"SUDBURY A"|NA|"https://oscar.wmo.int/surface/#/search/station/stationReportDetails/0-20000-0-71730"|"SRID=4326;POINT( -80.797778  46.625556)"|348.4|"0-20000-0-71730"|"http://codes.wmo.int/wmdr/FacilityType/landFixed"|"2013-03-12 09:00:00"|"http://codes.wmo.int/wmdr/WMORegion/northCentralAmericaCaribbean"|"http://codes.wmo.int/wmdr/TerritoryName/CAN"|"2013-03-12 09:00:00"|"2023-01-11 12:30:02"|1|NA|1|1|NA
